,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.990438998114732,0.009561001885267978,0.8341121495327103,0.8513513513513513,0.8175572519083969,"[[43059   187]
 [  239  1071]]"
ExtraTrees,0.9991022533441063,0.0008977466558937068,0.9846272098385858,0.9914860681114551,0.9778625954198473,"[[43235    11]
 [   29  1281]]"
Bagging,0.9988104856809409,0.0011895143190591615,0.9795287755890305,0.9913995308835027,0.9679389312977099,"[[43235    11]
 [   42  1268]]"
LDA,0.98217972888051,0.01782027111949008,0.7206192821956369,0.6684073107049608,0.7816793893129771,"[[42738   508]
 [  286  1024]]"
QDA,0.7289927282520873,0.2710072717479127,0.17424605074198182,0.09569593630286187,0.9725190839694656,"[[31207 12039]
 [   36  1274]]"
DecisionTree,0.9982045066882126,0.0017954933117874136,0.969650986342944,0.9638009049773756,0.9755725190839695,"[[43198    48]
 [   32  1278]]"
RandomForest,0.9989451476793249,0.0010548523206751054,0.981888246628131,0.9914396887159533,0.9725190839694656,"[[43235    11]
 [   36  1274]]"
GradientBoosting,0.997508753029895,0.002491246970105036,0.9568932038834951,0.9739130434782609,0.9404580152671755,"[[43213    33]
 [   78  1232]]"
GaussianNB,0.776528413681659,0.22347158631834096,0.2026107151437495,0.11317884942292207,0.9656488549618321,"[[33334  9912]
 [   45  1265]]"
Perceptron,0.971833198671335,0.028166801328665052,0.08992023205221174,0.8985507246376812,0.04732824427480916,"[[43239     7]
 [ 1248    62]]"
AdaBoost,0.996072358380465,0.0039276416195349675,0.9331295376385174,0.9342004590665647,0.9320610687022901,"[[43160    86]
 [   89  1221]]"
