,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.5,0.25,"[[44551     1]
 [    3     1]]"
Bagging,0.9999102253344107,8.977466558937069e-05,0.5,0.5,0.5,"[[44550     2]
 [    2     2]]"
LDA,0.9933566747463866,0.00664332525361343,0.01986754966887417,0.010067114093959731,0.75,"[[44257   295]
 [    1     3]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.4444444444444445,0.4,0.5,"[[44549     3]
 [    2     2]]"
RandomForest,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.5,0.25,"[[44551     1]
 [    3     1]]"
GradientBoosting,0.9998653380016159,0.00013466199838405601,0.0,0.0,0.0,"[[44550     2]
 [    4     0]]"
KNeighbors,0.9999102253344107,8.977466558937069e-05,0.0,1.0,0.0,"[[44552     0]
 [    4     0]]"
GaussianNB,0.9435541790106832,0.05644582098931682,0.002380007933359778,0.0011918951132300357,0.75,"[[42038  2514]
 [    1     3]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.28571428571428575,0.3333333333333333,0.25,"[[44550     2]
 [    3     1]]"
AdaBoost,0.9998877816680133,0.00011221833198671335,0.28571428571428575,0.3333333333333333,0.25,"[[44550     2]
 [    3     1]]"
