,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995960140048479,0.00040398599515216807,0.9909547738693467,0.9889669007021064,0.9929506545820745,"[[43552    11]
 [    7   986]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9994962216624685,1.0,0.998992950654582,"[[43563     0]
 [    1   992]]"
Bagging,0.9998428943352186,0.00015710566478139868,0.9964664310954063,0.9989878542510121,0.9939577039274925,"[[43562     1]
 [    6   987]]"
LDA,0.9947032947302271,0.00529670526977287,0.8831683168316832,0.8685491723466408,0.8982880161127895,"[[43428   135]
 [  101   892]]"
QDA,0.9943441960678696,0.005655803932130353,0.8873994638069705,0.7975903614457831,1.0,"[[43311   252]
 [    0   993]]"
DecisionTree,0.9999102253344107,8.977466558937069e-05,0.9979838709677419,0.9989909182643795,0.9969788519637462,"[[43562     1]
 [    3   990]]"
RandomForest,0.9999551126672053,4.488733279468534e-05,0.998991935483871,1.0,0.9979859013091642,"[[43563     0]
 [    2   991]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[43563     0]
 [    0   993]]"
GaussianNB,0.9944339707334591,0.005566029266540982,0.888888888888889,0.8006456820016142,0.998992950654582,"[[43316   247]
 [    1   992]]"
Perceptron,0.9987207110153514,0.0012792889846485322,0.9704816157431382,0.9989339019189766,0.9436052366565961,"[[43562     1]
 [   56   937]]"
AdaBoost,0.9998204506688213,0.00017954933117874137,0.9959555106167847,1.0,0.9919436052366566,"[[43563     0]
 [    8   985]]"
