,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9355642337732292,0.0644357662267708,0.9318489329883448,0.9487625676720804,0.915527776482112,"[[22057  1060]
 [ 1811 19628]]"
ExtraTrees,0.995286830056558,0.0047131699434419605,0.9950987256686737,0.9958424814313075,0.9943560800410467,"[[23028    89]
 [  121 21318]]"
Bagging,0.9945461890654458,0.005453810934554269,0.9943286577823418,0.9950485799701047,0.9936097765754,"[[23011   106]
 [  137 21302]]"
LDA,0.9291902325163839,0.07080976748361613,0.9247860395260686,0.9457772576555491,0.9047063762302346,"[[22005  1112]
 [ 2043 19396]]"
QDA,0.9426115450219948,0.05738845497800521,0.9392795231649689,0.9567047213622291,0.9224777275059471,"[[22222   895]
 [ 1662 19777]]"
DecisionTree,0.9936259987431547,0.006374001256845318,0.993379336068631,0.9929626695250967,0.9937963524418116,"[[22966   151]
 [  133 21306]]"
RandomForest,0.9948828440614059,0.005117155938594129,0.9946798581295501,0.995190736330952,0.994169504174635,"[[23014   103]
 [  125 21314]]"
GradientBoosting,0.9818206302181525,0.018179369781847563,0.9810019701660568,0.986601877624192,0.9754652735668641,"[[22833   284]
 [  526 20913]]"
GaussianNB,0.8781308914624293,0.1218691085375707,0.8722593394184625,0.8799183634724002,0.8647324968515323,"[[20587  2530]
 [ 2900 18539]]"
Perceptron,0.9133898913726546,0.08661010862734536,0.9051353278104181,0.9568607068607069,0.8587154251597556,"[[22287   830]
 [ 3029 18410]]"
AdaBoost,0.9634392674387288,0.03656073256127121,0.9616552503354282,0.9706804789963885,0.952796305797845,"[[22500   617]
 [ 1012 20427]]"
