,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9985411616841727,0.0014588383158272735,0.7470817120622567,0.6075949367088608,0.9696969696969697,"[[44395    62]
 [    3    96]]"
ExtraTrees,0.9996184576712451,0.0003815423287548254,0.9178743961352657,0.8796296296296297,0.9595959595959596,"[[44444    13]
 [    4    95]]"
Bagging,0.9993042463416824,0.0006957536583176228,0.8487804878048781,0.8207547169811321,0.8787878787878788,"[[44438    19]
 [   12    87]]"
LDA,0.996072358380465,0.0039276416195349675,0.5308310991957105,0.3613138686131387,1.0,"[[44282   175]
 [    0    99]]"
QDA,0.9981147320226232,0.0018852679773767843,0.697841726618705,0.5418994413407822,0.9797979797979798,"[[44375    82]
 [    2    97]]"
DecisionTree,0.999147140676901,0.0008528593230990215,0.820754716981132,0.7699115044247787,0.8787878787878788,"[[44431    26]
 [   12    87]]"
RandomForest,0.999147140676901,0.0008528593230990215,0.8240740740740741,0.7606837606837606,0.898989898989899,"[[44429    28]
 [   10    89]]"
GradientBoosting,0.9982718376874046,0.0017281623125953857,0.6547085201793722,0.5887096774193549,0.7373737373737373,"[[44406    51]
 [   26    73]]"
KNeighbors,0.9995960140048479,0.00040398599515216807,0.9117647058823529,0.8857142857142857,0.9393939393939394,"[[44445    12]
 [    6    93]]"
GaussianNB,0.9970823233683455,0.002917676631654547,0.6012269938650308,0.43171806167400884,0.98989898989899,"[[44328   129]
 [    1    98]]"
Perceptron,0.9975536403626897,0.002446359637310351,0.01801801801801802,0.08333333333333333,0.010101010101010102,"[[44446    11]
 [   98     1]]"
AdaBoost,0.9991246970105037,0.0008753029894963641,0.8202764976958525,0.7542372881355932,0.898989898989899,"[[44428    29]
 [   10    89]]"
