,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9946808510638298,0.005319148936170213,0.23300970873786406,0.8571428571428571,0.1348314606741573,"[[44283     6]
 [  231    36]]"
ExtraTrees,0.9997531196696292,0.00024688033037076936,0.9791271347248577,0.9923076923076923,0.9662921348314607,"[[44287     2]
 [    9   258]]"
Bagging,0.9997082323368346,0.0002917676631654547,0.9750479846449136,1.0,0.951310861423221,"[[44289     0]
 [   13   254]]"
QDA,0.9763219319508035,0.02367806804919652,0.3352236925015753,0.2015151515151515,0.9962546816479401,"[[43235  1054]
 [    1   266]]"
DecisionTree,0.9994164646736691,0.0005835353263309094,0.9514925373134329,0.9479553903345725,0.9550561797752809,"[[44275    14]
 [   12   255]]"
RandomForest,0.9997082323368346,0.0002917676631654547,0.9751434034416826,0.99609375,0.9550561797752809,"[[44288     1]
 [   12   255]]"
GradientBoosting,0.9994837956728612,0.0005162043271388814,0.9558541266794627,0.9803149606299213,0.9325842696629213,"[[44284     5]
 [   18   249]]"
GaussianNB,0.9744366639734267,0.0255633360265733,0.31918708906156606,0.18990042674253202,1.0,"[[43150  1139]
 [    0   267]]"
Perceptron,0.9938953227399228,0.0061046772600772065,0.648578811369509,0.49506903353057197,0.9400749063670412,"[[44033   256]
 [   16   251]]"
AdaBoost,0.9994164646736691,0.0005835353263309094,0.9507575757575758,0.9616858237547893,0.9400749063670412,"[[44279    10]
 [   16   251]]"
