,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9980698446898285,0.0019301553101714697,0.8501742160278746,0.856140350877193,0.8442906574394463,"[[44226    41]
 [   45   244]]"
ExtraTrees,0.9995286830056558,0.00047131699434419606,0.9632224168126094,0.975177304964539,0.9515570934256056,"[[44260     7]
 [   14   275]]"
Bagging,0.9995286830056558,0.00047131699434419606,0.9630931458699472,0.9785714285714285,0.9480968858131488,"[[44261     6]
 [   15   274]]"
LDA,0.9944339707334591,0.005566029266540982,0.6684491978609626,0.5446623093681917,0.8650519031141869,"[[44058   209]
 [   39   250]]"
QDA,0.9786336295897298,0.021366370410270223,0.3769633507853403,0.2324455205811138,0.9965397923875432,"[[43316   951]
 [    1   288]]"
DecisionTree,0.9996857886704372,0.00031421132956279736,0.9756944444444444,0.9790940766550522,0.972318339100346,"[[44261     6]
 [    8   281]]"
RandomForest,0.9996184576712451,0.0003815423287548254,0.9699115044247787,0.9927536231884058,0.9480968858131488,"[[44265     2]
 [   15   274]]"
GradientBoosting,0.9993940210072717,0.0006059789927282521,0.9520426287744228,0.9781021897810219,0.9273356401384083,"[[44261     6]
 [   21   268]]"
GaussianNB,0.9552922165364934,0.044707783463506595,0.22429906542056074,0.12637121544537078,0.9965397923875432,"[[42276  1991]
 [    1   288]]"
Perceptron,0.9972394290331269,0.0027605709668731483,0.7630057803468208,0.8608695652173913,0.6851211072664359,"[[44235    32]
 [   91   198]]"
AdaBoost,0.9994389083400664,0.0005610916599335668,0.9554367201426025,0.9852941176470589,0.9273356401384083,"[[44263     4]
 [   21   268]]"
