,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999775563336026,2.244366639734267e-05,0.0,1.0,0.0,"[[44555     0]
 [    1     0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44555     0]
 [    0     1]]"
Bagging,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
LDA,0.9945461890654458,0.005453810934554269,0.00816326530612245,0.004098360655737705,1.0,"[[44312   243]
 [    0     1]]"
DecisionTree,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.0,1.0,0.0,"[[44555     0]
 [    1     0]]"
GradientBoosting,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
GaussianNB,0.9999775563336026,2.244366639734267e-05,0.0,1.0,0.0,"[[44555     0]
 [    1     0]]"
Perceptron,0.9999775563336026,2.244366639734267e-05,0.0,1.0,0.0,"[[44555     0]
 [    1     0]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.0,1.0,0.0,"[[44555     0]
 [    1     0]]"
