,attack,model,accuracy,f1
0,Bot.csv,DecisionTree,0.9999646377788752,0.9745762711864406
1,DDoS.csv,RandomForest,0.9999669952602837,0.9996353881813684
2,DoS GoldenEye.csv,RandomForest,0.9999740677045086,0.9964308890330954
3,DoS Hulk.csv,DecisionTree,0.9997182809717068,0.9982691068156634
4,DoS Slowhttptest.csv,DecisionTree,0.999938705483384,0.9842615012106536
5,DoS slowloris.csv,ExtraTrees,0.99998585511155,0.996545768566494
6,FTP-Patator.csv,ExtraTrees,0.9999988212592958,0.9997898718218112
7,Heartbleed.csv,ExtraTrees,1.0,1.0
8,Infiltration.csv,AdaBoost,0.9999952850371834,0.7999999999999999
9,PortScan.csv,DecisionTree,0.9999611015567628,0.999653677836431
10,SSH-Patator.csv,RandomForest,0.9999893913336626,0.9974497024652876
11,Web Attack-Brute Force.csv,RandomForest,0.9998585511155011,0.8657718120805369
12,Web Attack-Sql Injection.csv,AdaBoost,0.9999988212592958,0.9090909090909092
13,Web Attack-XSS.csv,DecisionTree,0.999856193634093,0.7009803921568628
